job_title,similarity_score,location,job_url
Sr. Fullstack Developer ( Reactjs & Nodejs ),0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=3bba0c972f7fcc3e&vjs=3
.Net Full Stack Developer- Junior,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=ff67c84f1a81fb7a&vjs=3
Lead DevOps Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=56a78e6aa5ea4b71&vjs=3
DevOps Engineer(8-12yrs) | Network & Security,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=de3d9f69ed9c0472&vjs=3
Data Engineer (AWS DevOps),0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=bad48be29b2d4e81&vjs=3
DEVOPS ENGINEER | 4 to 6 YEARS | GURUGRAM,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=c6bb9caabbec8a7b&vjs=3
Associate DevOps Engineer - SAP Artificial Intelligence,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=2db671327ad7d6b5&vjs=3
Lead I - DevOps Engineering,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=572f0a004c999cfb&vjs=3
Sr Engineer - DevOps,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=95c68dadbe7f3748&vjs=3
Senior Analyst - DevOps Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=8cc6cb0c2ee7322c&vjs=3
Junior DevOps Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=4486e8d718afd4b3&vjs=3
DevOps Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=7d9ca1164e70d3fe&vjs=3
DevOps Engineer (Azure and Openshift),0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=c5b7bd5476f115c8&vjs=3
Lead Azure DevOps Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=fd0023be38a26374&vjs=3
"Manager, Technology Risk Management",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=e4cd637b14efb79c&vjs=3
"Analyst, Technology Risk Management",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=d11b08cfe29f11e2&vjs=3
Security Engineer III - Java AWS,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=677b876d119b2679&vjs=3
Lead Security Engineer - DevSecOps,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=137ee28820f80512&vjs=3
Cyber Security Experts,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=55038b3f3d89cf68&vjs=3
Staff Cloud Security Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=4d3f9fb9f654ec7f&vjs=3
APPLICATION SECURITY MANAGER,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=a7306e3ace5f554f&vjs=3
Sr. Technical Support Specialist- Cyber Security,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=46ca4245dbe6bf35&vjs=3
"Security Engineer II, EDR",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=fb72219ab7ac1f66&vjs=3
DevOps Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=613ba0ad656c94b3&vjs=3
Sr. DevOps Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=203f9bbdfb409c3d&vjs=3
Senior DevOps Engineer(12-16yrs)| Network & Security,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=9a9082e805b798b4&vjs=3
Senior Front End Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=392b0c35de3e917c&vjs=3
Senior Software Engineer - Dot net,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=5c16f446822a42d1&vjs=3
